# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	330 nm	340 nm	350 nm	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	840 nm	850 nm	
6.210000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.220000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.230000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.240000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.250000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.260000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.270000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.280000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.290000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.300000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.310000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.320000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.330000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.340000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.350000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.360000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.370000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.380000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.390000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.400000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.410000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.420000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.430000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.440000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.450000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.460000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.470000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.480000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.490000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.500000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.510000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.520000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.530000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.540000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.550000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
6.560000E2	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
